player_id,player_name,volforce,16_puc,17_puc,18_puc,19_puc,20_puc
SV-3530-9323,A2MAYELL,19.00,47,2,1,0,0
SV-3537-4549,PINCET,19.45,0,0,0,0,0
SV-3540-1296,*YU*,20.31
SV-3541-9034,MKR.MCB,19.86,68,23,1,0,0
SV-3542-2037,*NADJA.-,20.06,11,25,3,0,0
SV-3564-0458,PORNHUB,20.15
SV-3567-6074,HO10T,20.12,16,28,2,0,0
SV-3569-3812,99.99*52,20.24
SV-3569-5534,S.NONG,20.16,42,61,1,0,0
SV-3572-9148,K.NOEL,20.67,8,162,93,4,0
SV-3584-1001,0-1.ARPA,20.09,71,128,14,0,0
SV-3589-2794,X. SNG H,20.39,47,139,20,0,0
SV-3618-2146,MIZO,20.15,255,158,5,0,0
SV-3619-8883,16.FEN!,20.04,1,13,0,0,0
SV-3620-0885,KAGETORA,20.09,62,22,0,0,0
SV-3636-1948,GB-RIEUX,19.80,29,9,0,0,0
SV-3640-1568,TAROMEGA,20.56
SV-3640-5516,?,05.10,0,0,0,0,0
SV-3661-1701,SIE,19.24,0,7,0,0,0
SV-3664-0730,S.SUKUNA,19.67,22,5,0,0,0
SV-3675-3444,HANAKO.A,20.07,68,52,4,0,0
SV-3690-5498,SOGEN.IX,20.44,18,48,7,0,0
SV-3708-4481,RINNE,20.11,2,2,0,0,0
SV-3718-3279,CORBY.QS,21.44,52,126,122,31,4
SV-3745-4193,SUNSPIKE,20.60,10,14,37,1,0
SV-3746-9068,K,19.83,42,14,0,0,0
SV-3748-5805,LONGRE*,19.84,4,16,0,0,0
SV-3750-2682,LISHA*7Z,20.21,18,9,0,0,0
SV-3753-4294,VANILLA,20.16,70,119,9,0,0
SV-3773-1974,EROMANGA,20.38,251,128,17,0,0
SV-3793-0655,96-10112,19.83,9,2,0,0,0
SV-3799-6042,WIS#14,19.82,18,13,3,0,0
SV-3826-3652,MIRO,20.60,133,231,101,1,0
SV-3829-3402,SEXMA4-N,20.18,213,177,12,0,0
SV-3840-0110,SILVA,19.88,7,2,0,0,0
SV-3849-0662,AYY*MTS,20.08,78,20,2,0,0
SV-3852-3555,DBDBDBL,20.00,71,28,1,0,0
SV-3853-7009,NANDE???,19.31,0,8,0,0,0
SV-3855-7309,GUEST,20.09,94,26,3,0,0
SV-3859-5788,UNKON0W,20.02,6,1,0,0,0
SV-3869-2206,FG,19.79,4,2,1,0,0
SV-3879-9474,HV*XO-HH,19.82,39,25,1,0,0
SV-3882-8384,S.ARINI,20.09,190,74,6,0,0
SV-3894-7664,2RO.YMD,19.76,6,1,0,0,0
SV-3895-3670,UNJIKING,20.06,53,53,3,0,0
SV-3912-2321,SIROGANE,19.81,14,6,1,0,0
SV-3912-2643,JC.RTK,19.91,0,0,0,0,0
SV-3913-1470,SERAPHY,20.03,2,3,0,0,0
SV-3918-3963,MONICA.,20.00,25,12,1,0,0
SV-3933-5058,LV.GB-BQ,20.32,80,62,20,0,0
SV-3951-9963,KABOTEN,20.37,95,188,24,0,0
SV-3956-7451,3Y4N.OPI,19.91,17,11,0,0,0
SV-3964-0265,TOMY,19.42,4,1,0,0,0
SV-3967-9164,HIB1YA,19.90,107,63,3,0,0
SV-3970-0906,UDONGEIN,19.52,29,3,0,0,0
SV-3971-3779,SYZQ.ERS,20.57,34,231,76,0,0
SV-3974-1828,CHISAKI,19.76,5,5,0,0,0
SV-3979-6743,BONOBONO,19.85,81,86,12,0,0
SV-3981-3200,2NO.MIL,20.44,29,124,15,0,0
SV-3993-5063,HARO ,19.97,2,35,2,0,0
SV-3998-7717,CHRS4LFE,20.19,48,25,5,1,0
SV-4011-4004,UNC-KONG,19.90,12,13,0,0,0
SV-4021-8850,RINCLE.,20.13,316,73,7,0,0
SV-4029-7530, 5252..,20.19,27,60,6,0,0
SV-4041-4388,-RE1*RA.,19.93,0,3,0,0,0
SV-4041-7433,ME-ARI,19.78,3,6,0,0,0
SV-4090-0860,VX*HARU,20.00,307,115,3,0,0
SV-4137-1176,DG-LEG,19.50,13,5,0,0,0
SV-4144-0266,MAEKWA39,20.03,0,0,0,0,0
SV-4163-8086,MERY,19.43,22,3,0,0,0
SV-4170-9318,RIINA P,20.08
SV-4172-0490,AMURORAY,19.47,27,3,1,0,0
SV-4173-7066,GUMSYRUP,19.91,5,10,0,0,0
SV-4191-0001,YZ*NOA..,20.11,22,140,8,0,0
SV-4194-1613,JAOOOOOO,19.74
SV-4197-9231,HARMON,19.66,51,6,0,0,0
