musicname,artistname,diff,difficult,level,puc_count
六兆年と一夜物語(EXIT TUNES),kemu feat. IA,NOV,0,3,13
六兆年と一夜物語(EXIT TUNES),kemu feat. IA,ADV,1,10,17
六兆年と一夜物語(EXIT TUNES),kemu feat. IA,EXH,2,14,100
六兆年と一夜物語(EXIT TUNES),kemu feat. IA,INF,4,16,16
恋愛勇者(EXIT TUNES),Last Note. feat. GUMI,NOV,0,3,8
恋愛勇者(EXIT TUNES),Last Note. feat. GUMI,ADV,1,8,8
恋愛勇者(EXIT TUNES),Last Note. feat. GUMI,EXH,2,12,100
セツナトリップ(EXIT TUNES),Last Note. feat. GUMI,NOV,0,4,18
セツナトリップ(EXIT TUNES),Last Note. feat. GUMI,ADV,1,10,14
セツナトリップ(EXIT TUNES),Last Note. feat. GUMI,EXH,2,15,38
セツナトリップ(EXIT TUNES),Last Note. feat. GUMI,HVN,6,17,8
イカサマライフゲイム(EXIT TUNES),kemu feat. GUMI,NOV,0,4,3
イカサマライフゲイム(EXIT TUNES),kemu feat. GUMI,ADV,1,10,13
イカサマライフゲイム(EXIT TUNES),kemu feat. GUMI,EXH,2,14,80
イカサマライフゲイム(EXIT TUNES),kemu feat. GUMI,HVN,6,17,18
ポーカーフェイス(EXIT TUNES),ゆちゃP feat. GUMI,NOV,0,4,5
ポーカーフェイス(EXIT TUNES),ゆちゃP feat. GUMI,ADV,1,9,9
ポーカーフェイス(EXIT TUNES),ゆちゃP feat. GUMI,EXH,2,12,44
Black Board(EXIT TUNES),蝶々P,NOV,0,2,25
Black Board(EXIT TUNES),蝶々P,ADV,1,9,9
Black Board(EXIT TUNES),蝶々P,EXH,2,12,31
ハートブレイク・ヘッドライン(EXIT TUNES),40mP feat. GUMI,NOV,0,4,4
ハートブレイク・ヘッドライン(EXIT TUNES),40mP feat. GUMI,ADV,1,8,8
ハートブレイク・ヘッドライン(EXIT TUNES),40mP feat. GUMI,EXH,2,11,45
dreamin' feat.Ryu☆(EXIT TUNES),Mayumi Morinaga (moimoi),NOV,0,5,4
dreamin' feat.Ryu☆(EXIT TUNES),Mayumi Morinaga (moimoi),ADV,1,10,12
dreamin' feat.Ryu☆(EXIT TUNES),Mayumi Morinaga (moimoi),EXH,2,13,57
再教育(EXIT TUNES),Neru,NOV,0,2,14
再教育(EXIT TUNES),Neru,ADV,1,7,14
再教育(EXIT TUNES),Neru,EXH,2,9,70
Bad Apple!! feat. nomico,Masayoshi Minoshima,NOV,0,2,25
Bad Apple!! feat. nomico,Masayoshi Minoshima,ADV,1,7,23
Bad Apple!! feat. nomico,Masayoshi Minoshima,EXH,2,12,76
Bad Apple!! feat. nomico,Masayoshi Minoshima,INF,4,16,43
チルノのパーフェクトさんすう教室,ARM(IOSYS),NOV,0,5,14
チルノのパーフェクトさんすう教室,ARM(IOSYS),ADV,1,10,7
チルノのパーフェクトさんすう教室,ARM(IOSYS),EXH,2,13,66
チルノのパーフェクトさんすう教室,ARM(IOSYS),INF,4,16,23
taboo tears you up 2008,REDALiCE,NOV,0,4,5
taboo tears you up 2008,REDALiCE,ADV,1,10,8
